Description,License Requirements,Reporting Requirements,List Based License Exceptions,Special Conditions for STA,List of Items Controlled
List Based License Exceptions (See Part 740 for
a description of all license exceptions)


LVS:  $1500
GBS:  N/A
CIV:  N/A

","
Special Conditions for STA


STA:   Paragraph (c)(2) of License
Exception STA (§ 740.20(c)(2) of
the EAR) may not be used for any
item in 1C608.

","
List of Items Controlled


Related Controls:  (1) The EAR does not
control devices or charges containing
materials controlled by USML subparagraphs
V(c)(6), V(h), or V(i).  The USML controls
devices containing such materials. (2) The
USML in Categories III, IV, or V controls
devices and charges in this entry if they
contain materials controlled by Category V






(other than slurries) and such materials can be
easily extracted without destroying the device
or charge.  (3) See also explosives and other
items enumerated in ECCNs 1A006, 1A007,
1A008, 1C011, 1C111, 1C239, and 1C992.
(4) See ECCN 0A919 for foreign-made
'military commodities' that incorporate more
than a de minimis amount of US-origin '600
series' controlled content.


Related Definitions: (1) For purposes of this
entry, the term ‘controlled materials’
means controlled energetic materials
enumerated in ECCNs 1C011, 1C111,


1C239, 1C608, or USML Category V. (2)
For the purposes of this entry, the term
‘propellants’ means substances or
mixtures that react chemically to produce
large volumes of hot gases at controlled
rates to perform mechanical work.


Items:


a. ‘Single base,’ ‘double base,’ and ‘triple base’
‘propellants’ having nitrocellulose with nitrogen
content greater than 12.6% in the form of either:


a.1. ‘Sheetstock’ or ‘carpet rolls;’ or


a.2. Grains with diameter greater than 0.10
inches.


Note: This entry does not control ‘propellant’
grains used in shotgun shells, small arms
cartridges, or rifle cartridges.


Technical Notes:


1. ‘Sheetstock’ is ‘propellant’ that has been
manufactured in the form of a sheet suitable for
further processing.
2. A ‘carpet roll’ is ‘propellant’ that has been
manufactured as a sheet, often cut to a desired
width, and subsequently rolled up (like a carpet).


3. ‘Single base’ is ‘propellant’ which consists
mostly of nitrocellulose.
4.’Double base’ ‘propellant’ consist mostly of








5. ‘Triple base’ consists mostly of
nitrocellulose, nitroglycerine, and
nitroguanidine. Such ‘propellants’ contain other
materials, such as resins or stabilizers, that could
include carbon, salts, burn rate modifiers,
nitrodiphenylamine, wax, polyethylene glycol
(PEG), polyglycol adipate (PGA).


b. Shock tubes containing greater than 0.064 kg
per meter (300 grains per foot), but not more than
0.1 kg per meter (470 grains per foot) of
‘controlled materials.’


c. Cartridge power devices containing greater
than 0.70 kg, but not more than 1.0 kg of
‘controlled materials.’


d. Detonators (electric or nonelectric) and
'specially designed' assemblies therefor
containing greater than 0.01 kg, but not more
than 0.1 kg of ‘controlled materials.’


e. Igniters not controlled by USML Categories III
or IV that contain greater than 0.01 kg, but not
more than 0.1 kg of ‘controlled materials.’


f. Oil well cartridges containing greater than
0.015 kg, but not more than 0.1 kg of ‘controlled
materials.’


g. Commercial cast or pressed boosters
containing greater than 1.0 kg, but not more than
5.0 kg of ‘controlled materials.’


h. Commercial prefabricated slurries and
emulsions containing greater than 10 kg and less
than or equal to thirty-five percent by weight of
USML ‘controlled materials.’


i. [Reserved]


j. 'Pyrotechnic' devices 'specially designed' for
commercial purposes (e.g., theatrical stages,
motion picture special effects, and fireworks
displays), and containing greater than 3.0 kg, but
not more than 5.0 kg of ‘controlled materials.’


k. Other commercial explosive devices or
charges 'specially designed' for commercial








.g above, containing greater than 1.0 kg, but not
more than 5.0 kg of ‘controlled materials.’


l. Propyleneimine (2 methylaziridine) (C.A.S.
#75-55-8).


m. Any oxidizer or ‘mixture’ thereof that is a
compound composed of fluorine and any of the
following: other halogens, oxygen, or nitrogen.


Note 1 to 1C608.m: Nitrogen trifluoride
(NF3)(CAS 7783-54-2) in a gaseous state is
controlled under ECCN 1C992 and not under
ECCN 1C608.m.


Note 2 to 1C608.m: Chlorine trifluoride
(ClF3)(CAS 7790-91-2) is controlled under
ECCN 1C111.a.3.f and not under ECCN
1C608.m.


Note 3 to 1C608.m: Oxygen difluoride (OF2)
is controlled under USML Category V.d.10 (see
22 CFR 121.1) and not under ECCN 1C608.m.


Note to 1C608.l and m: If a chemical in
ECCN 1C608.l or .m is incorporated into a
commercial charge or device described in ECCN
1C608.c through .k or in ECCN 1C992, the
classification of the commercial charge or device
applies to the item.


Technical Note to 1C608.m:  ‘Mixture’
refers to a composition of two or more substances
with at least one substance being enumerated in
1C011, 1C111, 1C239, 1C608, USML Category
V, or elsewhere on the USML.


n. Any explosives, ‘propellants,’ oxidizers,
'pyrotechnics,' fuels, binders, or additives that
are 'specially designed' for military application
and not enumerated or otherwise described in
USML Category V or elsewhere on the USML.



"
"
1C980 Inorganic chemicals listed in
Supplement No. 1 to part 754 of the EAR that
were produced or derived from the Naval
Petroleum Reserves (NPR) or became
available for export as a result of an exchange
of any NPR produced or derived commodities.







","[[""ATappliesto\rentire entry"",""AT Column 1""],[""RSappliesto\rentire entry"",""A license is required for items\rcontrolledbythisentryfor\rexport or reexport to Iraq or\rtransferwithinIraqfor\rregionalstabilityreasons.\rThe Commerce Country Chart\ris not designed to determine\rRSlicenserequirementsfor\rthis entry.  See §§742.6 and\r746.3oftheEARfor\radditional information.""]]",,"
List Based License Exceptions (See Part 740 for
a description of all license exceptions)


LVS: N/A
GBS: N/A
CIV: N/A

",,"
List of Items Controlled


Related Controls: N/A
Related Definitions: N/A
Items:


The list of items controlled is contained in the
ECCN heading.



"
"
1C991 Vaccines, immunotoxins, medical
products, diagnostic and food testing kits, as
follows (see List of Items controlled).

","[[""AT applies to entire entry"",""AT Column 1""]]",,"
List Based License Exceptions (See Part 740 for
a description of all license exceptions)


LVS: N/A
GBS: N/A
CIV: N/A

",,"
List of Items Controlled


Related Controls:  (1) Medical products
containing ricin or saxitoxin, as follows, are
controlled for CW reasons under ECCN
1C351:
(a) Ricinus Communis AgglutininII
(RCAII), also known as ricin D, or Ricinus
Communis LectinIII (RCLIII);
(b) Ricinus Communis LectinIV (RCLIV),
also known as ricin E; or
(c) Saxitoxin identified by C.A.S.
#35523-89-8.


(2) The export of a 'medical product' that is
an 'Investigational New Drug' (IND), as
defined in 21 CFR §312.3, is subject to
certain U.S. Food and Drug Administration
(FDA) requirements that are independent of
the export requirements specified in this
ECCN or elsewhere in the EAR.  These
FDA requirements are described in 21 CFR
§312.110 and must be satisfied in addition to
any requirements specified in the EAR.


(3) Also see 21 CFR §314.410 for FDA
requirements concerning exports of new
drugs and new drug substances.


Related Definitions:  For the purpose of this
entry, 'immunotoxin' is defined as an
antibody-toxin conjugate intended to destroy
specific target cells (e.g., tumor cells) that
bear antigens homologous to the antibody.
For the purpose of this entry, 'medical
products' are:  (1) pharmaceutical
formulations designed for testing and human
administration in the treatment of medical
conditions, (2) prepackaged for distribution
as clinical or medical products, and (3)
approved by the U.S. Food and Drug
Administration either to be marketed as






clinical or medical products or for use as an
'Investigational New Drug' (IND) (see 21
CFR Part 312).  For the purpose of this
entry, 'diagnostic and food testing kits' are
specifically developed, packaged and
marketed for diagnostic or public health
purposes.  Biological toxins in any other
configuration, including bulk shipments, or
for any other end-uses are controlled by
ECCN 1C351.  For the purpose of this entry,
'vaccine' is defined as a medicinal (or
veterinary) product in a pharmaceutical
formulation, approved by the U.S. Food and
Drug Administration or the U.S. Department
of Agriculture to be marketed as a medical
(or veterinary) product or for use in clinical
trials, that is intended to stimulate a
protective immunological response in
humans or animals in order to prevent
disease in those to whom or to which it is
administered.
Items:


a.  Vaccines against items controlled by ECCN
ECCN 1C351, 1C353 or 1C354;


b.  Immunotoxins containing items controlled by
1C351.d;


c.  Medical products containing botulinum
toxins controlled by ECCN 1C351.d.3 or
conotoxins controlled by ECCN 1C351.d.6;


d.  Medical products containing items controlled
by ECCN 1C351.d (except botulinum toxins
controlled by ECCN 1C351.d.3, conotoxins
controlled by ECCN 1C351.d.6, and items
controlled for CW reasons under 1C351.d.11 or
.d.12);


e.  Diagnostic and food testing kits containing
items controlled by ECCN 1C351.d (except items
controlled for CW reasons under ECCN
1C351.d.11 or .d.12).



"
"
1C992 Commercial charges and devices
containing energetic materials, n.e.s. and
nitrogen trifluoride in a gaseous state (see List
of Items Controlled).







","[[""AT applies to\rentire entry"",""AT Column 1""],[""RS applies to\rentire entry."",""A license is required for items\rcontrolledbythisentryfor\rexportorreexporttoIraqor\rtransfer within Iraq for regional\rstabilityreasons.The\rCommerce Country Chart is not\rdesignedtodetermineRS\rlicenserequirementsforthis\rentry.  See §§742.6 and 746.3\roftheEARforadditional\rinformation.""]]",,"
List Based License Exceptions (See Part 740 for
a description of all license exceptions)


LVS: N/A
GBS: N/A
CIV: N/A

",,"
List of Items Controlled


Related Controls: (1) Commercial charges
and devices containing USML controlled
energetic materials that exceed the quantities
noted or that are not covered by this entry are
controlled under ECCN 1C608.  (2)
Nitrogen trifluoride when not in a gaseous
state is controlled under ECCN 1C608.


Related Definitions:  (1)  Items controlled
by this entry 1C992 are those materials not
controlled by ECCN 1C608 and not 'subject
to the ITAR' (see 22 CFR parts 120 through
130).  (2) For purposes of this entry, the
term 'controlled materials' means controlled
energetic materials (see ECCNs 1C011,






1C111, 1C239 and 1C608; see also 22 CFR
121.1 Category V).  (3) The individual
USML controlled energetic materials, even
when compounded with other materials,
remain 'subject to the ITAR' when not
incorporated into explosive devices or
charges controlled by this entry.  (4)  Commercial prefabricated slurries and
emulsions containing greater than 35% of
USML controlled energetic materials are
'subject to the ITAR' (see 22 CFR parts 120
through 130).  (5)  For purposes of this
entry, the mass of aluminum powder,
potassium perchlorate, and any of the
substances listed in the note to the USML
(see 22 CFR 121.12) (such as ammonium
pictrate, black powder, etc.) contained in
commercial explosive devices and in the
charges are omitted when determining the
total mass of controlled material.


Items:


a.  Shaped charges 'specially designed' for oil
well operations, utilizing one charge functioning
along a single axis, that upon detonation produce
a hole, and


a.1.  Contain any formulation of controlled
materials;


a.2.  Have only a uniform shaped conical
liner with an included angle of 90 degrees or less;


a.3.  Contain more than 0.010 kg but less
than or equal to 0.090 kg of controlled materials;
and


a.4.  Have a diameter not exceeding 4.5
inches;


b.  Shaped charges 'specially designed' for oil
well operations containing less than or equal to
0.010 kg of controlled materials;


c.  Detonation cord or shock tubes containing
less than or equal to 0.064 kg per meter (300
grains per foot) of controlled materials;










d.  Cartridge power devices, that contain less
than or equal to 0.70 kg of controlled materials in
the deflagration material;


e.  Detonators (electric or nonelectric) and
assemblies thereof, that contain less than or equal
to 0.01 kg of controlled materials;


f.  Igniters, that contain less than or equal to 0.01
kg of controlled materials;


g.  Oil well cartridges, that contain less than or
equal to 0.015 kg of controlled energetic
materials;






h. Commercial cast or pressed boosters
containing less than or equal to 1.0 kg of
controlled materials;


i. Commercial prefabricated slurries and
emulsions containing less than or equal to 10.0 kg
and less than or equal to thirty-five percent by
weight of USML controlled materials;


j.  Cutters and severing tools containing less
than or equal to 3.5 kg of controlled materials;


k. Pyrotechnic devices when designed
exclusively for commercial purposes (e.g.,
theatrical stages, motion picture special effects,
and fireworks displays) and containing less than
or equal to 3.0 kg of controlled materials; or


l.   Other commercial explosive devices and
charges not controlled by 1C992.a through .k
containing less than or equal to 1.0 kg of
controlled materials.


Note: 1C992.l includes automotive
safety devices; extinguishing systems; cartridges
for riveting guns; explosive charges for
agricultural, oil and gas operations, sporting
goods, commercial mining, or public works
purposes; and delay tubes used in the assembly of
commercial explosive devices.


m.  Nitrogen trifluoride (NF3) in a gaseous state.











"
"
1C995  Mixtures not controlled by ECCN
1C350, ECCN 1C355 or ECCN 1C395 that
contain chemicals controlled by ECCN 1C350
or ECCN 1C355 and medical, analytical,
diagnostic, and food testing kits not controlled
by ECCN 1C350 or ECCN 1C395 that contain
chemicals controlled by ECCN 1C350.d, as
follows (see List of Items Controlled).

",[],,"
List Based License Exceptions (See Part 740 for
a description of all license exceptions)


LVS: N/A
GBS: N/A
CIV: N/A

",,"
List of Items Controlled


Related Controls:  1. ECCN 1C350 controls
mixtures containing 30 percent or higher
concentrations of any single CWC Schedule
2 chemical identified in ECCN 1C350.b.
ECCN 1C395 controls mixtures containing
concentrations of more than 10 percent, but
less than 30 percent, of any single CWC
Schedule 2 chemical identified in ECCN
1C350.b.  2. ECCN 1C350 controls
mixtures containing chemicals identified in
ECCN 1C350.c or .d that exceed the
concentration levels indicated in 1C995.a.2.
3. ECCN 1C355 controls mixtures
containing chemicals identified in ECCN
1C355 that exceed the concentration levels
indicated in 1C995.b.  4. ECCN 1C395
controls 'medical, analytical, diagnostic, and
food testing kits' (as defined in the Related
Controls paragraph of this ECCN) that
contain CWC Schedule 2 or 3 chemicals
listed in 1C350.b or .c.  ECCN 1C350
controls any such testing kits in which the
amount of any single chemical listed in
1C350.b, .c., or .d exceeds 300 grams by
weight.


Related Definitions: For the purpose of this
entry, 'medical, analytical, diagnostic, and
food testing kits' are pre-packaged materials
of defined composition that are specifically
developed, packaged and marketed for
medical, analytical, diagnostic, or public
health purposes.  Replacement reagents for
medical, analytical, diagnostic, and food
testing kits described in 1C995.c are
controlled by ECCN 1C350 if the reagents
contain at least one of the precursor
chemicals identified in that ECCN in






concentrations equal to or greater than the
control levels for mixtures indicated in
1C350.d.


Items:


a. Mixtures containing the following
concentrations of precursor chemicals controlled
by ECCN 1C350 (For controls on other mixtures
containing these chemicals, see Notes 1 and 2 in
the Related Controls paragraph of this ECCN.):


a.1. Mixtures containing 10 percent or less, by
weight, of any single CWC Schedule 2 chemical
controlled by ECCN 1C350.b;


a.2. Mixtures containing less than
30 percent, by weight, of:


a.2.a. Any single CWC Schedule 3
chemical controlled by ECCN 1C350.c; or


a.2.b. Any single precursor chemical
controlled by ECCN 1C350.d.


b. Mixtures containing the following
concentrations of toxic or precursor chemicals
controlled by ECCN 1C355 (For controls on
other mixtures containing these chemicals, see
Note 3 in the Related Controls paragraph of this
ECCN.):


b.1. Mixtures containing the following
concentrations of CWC Schedule 2 chemicals
controlled by ECCN 1C355.a:


b.1.a. Mixtures containing 1 percent or
less, by weight, of any single CWC Schedule 2
chemical controlled by ECCN 1C355.a.1 (i.e.,
mixtures containing PFIB); or


b.1.b. Mixtures containing 10 percent or
less, by weight, of any single CWC Schedule 2
chemical controlled by 1C355.a.2;


b.2. Mixtures containing less than
30 percent, by weight, of any single CWC
Schedule 3 chemical controlled by ECCN
1C355.b.








c. 'Medical, analytical, diagnostic, and food
testing kits' (as defined in the Related
Definitions for this ECCN) that contain precursor
chemicals controlled by ECCN 1C350.d in an
amount not exceeding 300 grams per chemical.
(For controls on other such test kits containing
these and other controlled chemicals, see Note 4
in the Related Controls paragraph of this ECCN.)







"
"
1C996  Hydraulic fluids containing synthetic
hydrocarbon oils, not controlled by 1C006,
having all the following characteristics (see
List of Items Controlled).

","[[""AT applies to entire entry"",""AT Column 1""]]",,"
List Based License Exceptions (See Part 740 for
a description of all license exceptions)


LVS:  N/A
GBS:  N/A
CIV:  N/A

",,"
List of Items Controlled


Related Controls: N/A
Related Definitions: N/A
Items:


a.  A flash point exceeding 477 K (204 C);


b.  A pour point at 239 K (-34 C) or less;


c.  A viscosity index of 75 or more; and


d.  A thermal stability at 616 K (343 C).



"
"
1C997 Ammonium nitrate, including
fertilizers and fertilizer blends containing
more than 15% by weight ammonium nitrate,
except liquid fertilizers (containing any






amount of ammonium nitrate) or dry
fertilizers containing less than 15% by weight
ammonium nitrate.

",[],,"
List Based License Exceptions (See Part 740 for
a description of all license exceptions)


LVS:  N/A
GBS:  N/A
CIV:  N/A

",,"
List of Items Controlled


Related Controls: N/A
Related Definitions: N/A
Items:


The list of items controlled is contained in the
ECCN heading.



"
"
1C998 Non-fluorinated polymeric substances,
not controlled by 1C008, as follows (see List of
Items Controlled).

","[[""NS applies to entire entry"",""NS Column 1""],[""MTappliesto\u201Csoftware\u201D\rforthe\u201Cdevelopment,\u201D\r\u201Cproduction,\u201D operation, or\rmaintenanceofitems\rcontrolledby1B001for\rMT reasons."",""MT Column 1""],[""NP applies to \u201Csoftware\u201D\rfor the \u201Cdevelopment\u201D,\r\u201Cproduction\u201D or \u201Cuse\u201D of\ritems controlled by 1B001\rfor NP reasons"",""NP Column 1""],[""AT applies to entire entry"",""AT Column 1""]]",,"
List Based License Exceptions (See Part 740 for
a description of all license exceptions)


LVS:  N/A
GBS: N/A
CIV: N/A

",,"
List of Items Controlled


Related Controls: N/A
Related Definitions: N/A
Items:


a.   Polyarylene ether ketones, as follows:


a.1  Polyether ether ketone (PEEK);


a.2.  Polyether ketone ketone (PEKK);


a.3.  Polyether ketone (PEK);


a.4.  Polyether ketone ether ketone ketone
(PEKEKK);


b. [Reserved].



"
"
1C999 Specific materials, n.e.s., as follows (see
List of Items Controlled).

","[[""NS applies to entire entry"",""NS Column 1""],[""AT applies to entire entry"",""AT Column 1""]]",,"
List Based License Exceptions (See Part 740 for
a description of all license exceptions)


LVS: N/A
GBS: N/A
CIV: N/A

",,"
List of Items Controlled


Related Controls: See also 1C236
Related Definitions: N/A
Items:


a.  Hardened steel and tungsten carbide
precision ball bearings (3mm or greater
diameter);


b.  304 and 316 stainless steel plate, n.e.s.;


c.  Monel plate;


d. Tributyl phosphate;


e.  Nitric acid in concentrations of 20 weight
percent or greater;


f.  Fluorine;


g. Alpha-emitting radionuclides, n.e.s.




D. 'SOFTWARE'



"
"
1D001  'Software' 'specially designed' or
modified for the 'development',
'production' or 'use' of equipment
controlled by 1B001 to 1B003.

","[[""NS applies to entire entry"",""NS Column 2""],[""RS applies to software for"",""RS Column 2""]]",,"
List Based License Exceptions (See Part 740 for
a description of all license exceptions)


CIV:  Yes, except N/A for MT
TSR:  Yes, except N/A for MT

",,"
List of Items Controlled


Related Controls: (1) See ECCNs 1E101
('use') and 1E102 ('development' and
'production') for technology for items
controlled by this entry.  (2) Also see
1D002, 1D101, 1D201, and 1D999.
Related Definitions:  N/A
Items:


The list of items controlled is contained in the
ECCN heading.



"
"
1D002  'Software' for the 'development' of
organic 'matrix', metal 'matrix' or carbon
'matrix' laminates or 'composites'.

","[[""AT applies to entire entry"",""AT Column 1""]]",,"
List Based License Exceptions (See Part 740 for
a description of all license exceptions)


CIV:   Yes
TSR:   Yes

","
Special Conditions for STA


STA: License Exception STA may not be
used to ship or transmit  'software'
for the 'development' of organic
'matrix', metal 'matrix' or carbon
'matrix' laminates or 'composites'
specified in ECCN 1A002 to any of
the destinations listed in Country
Group A:6 (See Supplement No.1 to
part 740 of the EAR).

","
List of Items Controlled


Related Controls: 'Software' for items
controlled by 1A102 are 'subject to the
ITAR' (see 22 CFR parts120 through 130).
Related Definitions: N/A
Items:


The list of items controlled is contained in the
ECCN heading.



"
"
1D003 'Software' 'specially designed' or
modified to enable equipment to perform the
functions of equipment controlled under
1A004.c or 1A004.d.

","[[""NS applies to entire entry"",""NS Column 1""],[""MTappliesto\u201Csoftware\u201D\rforthe\u201Cdevelopment\u201D,\r\u201Cproduction\u201D, operation, or\rmaintenanceofitems\rcontrolledby1B018for\rMT reasons."",""MT Column 1""],[""AT applies to entire entry"",""AT Column 1""],[""UN applies to entire entry"",""See § 746.1(b)\rfor UN""]]",,"
List Based License Exceptions (See Part 740 for
a description of all license exceptions)


CIV:   N/A
TSR:  N/A

",,"
List of Items Controlled


Related Controls: N/A
Related Definitions:  N/A
Items:


The list of items controlled is contained in the
ECCN heading.



"
"
1D018  'Software' specially designed or
modified for the 'development',
'production', or 'use' of items controlled by
1B018.b.

",[],,"
List Based License Exceptions (See Part 740 for
a description of all license exceptions)


CIV: N/A
TSR: N/A

",,"
List of Items Controlled


Related Controls:  See ECCN 1D608 for
'software' for items classified under ECCN
1B608 that, immediately prior to July 1,
2014, were classified under 1B018.a.


Related Definitions: N/A
Items:


The list of items controlled is contained in the
ECCN heading.



"
"
1D101  'Software' 'specially designed' or
modified for the operation or maintenance of
commodities controlled by 1B101, 1B102,
1B115, 1B117, 1B118, or 1B119.

","[[""MT applies to entire entry"",""MT Column 2""],[""NP applies to \u201Csoftware\u201D\rforthe\u201Cuse\u201Dofitems\rcontrolled by 1B101.a"",""NP Column 1""],[""AT applies to entire entry"",""AT Column 1""]]",,"
List Based License Exceptions (See Part 740 for
a description of all license exceptions)


CIV: N/A
TSR: N/A

",,"
List of Items Controlled








Related Controls:   See ECCNs 1E101
('use') and 1E102 ('development' and
'production') for technology for items
controlled by this entry.
Related Definitions:  N/A
Items:


The list of items controlled is contained in the
ECCN heading.



"
"
1D103  'Software' 'specially designed' for
reduced observables such as radar
reflectivity, ultraviolet/infrared signatures
and acoustic signatures, for applications
usable in rockets, missiles, or unmanned
aerial vehicles capable of delivering at least a
500 kg payload to a 'range' equal to or
greater than 300 km and their complete
subsystems.

","[[""MT applies to entire entry"",""MT Column 1""],[""AT applies to entire entry"",""AT Column 1""]]",,"
List Based License Exceptions (See Part 740 for
a description of all license exceptions)


CIV: N/A
TSR: N/A

",,"
List of Items Controlled


Related Controls:  (1) This entry includes
'software' 'specially designed' for analysis
of signature reduction.  (2) For software that
meets the definition of defense articles under
22 CFR 120.3 of the International Traffic in
Arms Regulations (ITAR), which describes
similar software that are 'subject to the
ITAR' (see 22 CFR parts 120 through 130,
including USML Category XIII).
Related Definitions: N/A
Items:








The list of items controlled is contained in the
ECCN heading.



"
"
1D201  'Software' 'specially designed' or
modified for the 'use' of items controlled by
1B201.

","[[""NP applies to entire entry"",""NP Column 1""],[""AT applies to entire entry"",""AT Column 1""]]",,"
List Based License Exceptions (See Part 740 for
a description of all license exceptions)


CIV: N/A
TSR: N/A

",,"
List of Items Controlled


Related Controls:   See ECCNs 1E201
('use') and 1E203 ('development' and
'production') for technology for items
controlled by this entry.
Related Definitions:  N/A
Items:


The list of items controlled is contained in the
ECCN heading.



"
"
1D390  'Software' for process control that is
specifically configured to control or initiate
'production' of chemicals controlled by
1C350.

",[],,"
List Based License Exceptions (See Part 740 for
a description of all license exceptions)


CIV: N/A
TSR: N/A

",,"
List of Items Controlled


Related Controls: N/A
Related Definitions: See Section 772.1 of the
EAR for the definitions of 'software,'
'program,' and 'microprogram.'
Items:


The list of items controlled is contained in the
ECCN heading.



"
"
1D607  'Software' 'specially designed' for
the 'development,' 'production,' operation,
or maintenance of items controlled by 1A607,","[[""AT applies to entire entry"",""AT Column 1""]]",,,,
"
1B607 or 1C607 (see List of Items Controlled).

","[[""NS applies to entire entry,\rexcept\u201Csoftware\u201Dfor\r1C607.a.10,.a.11,.a.12,\rand .a.14"",""NS Column 1""],[""RS applies to entire entry"",""RS Column 1""],[""AT applies to entire entry"",""AT Column 1""],[""UN applies to entire entry"",""See § 746.1(b) for\rUN controls""]]",,"
List Based License Exceptions (See Part 740
for a description of all license exceptions)


CIV:  N/A
TSR:  N/A

","
Special Conditions for STA








STA:  Paragraph (c)(2) of License Exception
STA (§ 740.20(c)(2) of the EAR) may
not be used for any item in 1D607.

","
List of Items Controlled


Related Controls:  (1) 'Software' directly
related to articles enumerated or otherwise
described in USML Category XIV is subject
to the ITAR (see 22 CFR § 121.1, Category
XIV(m)).  'Software' controlled by USML
Category XIV(m) includes 'software'
directly related to any equipment containing
reagents, algorithms, coefficients, software,
libraries, spectral databases, or alarm set
point levels developed under U.S.
Department of Defense contract or funding
for the detection, identification, warning or
monitoring of items controlled in paragraphs
(a) or (b) of USML Category XIV, or for
chemical or biological agents specified by
U.S. Department of Defense funding or
contract.  (2) See ECCN 0A919 for
'military commodities' located and
produced outside the United States that
incorporate more than a de minimis amount
of US-origin '600 series' controlled content.
Related Definitions:  N/A
Items:


a.  'Software' 'specially designed' for the
'development,' 'production,' operation, or
maintenance of commodities controlled by
ECCN 1A607, 1B607, or 1C607.


b. [Reserved]



"
"
1D608  'Software' 'specially designed' for
the 'development,' 'production,' operation,
or maintenance of commodities controlled by",[],,,,
"
1B608 or 1C608 (see List of Items Controlled).

","[[""RS applies to entire entry"",""RS Column 1""],[""MTappliesto\u201Csoftware\u201D\r\u201Cspeciallydesigned\u201Dforthe\r\u201Cuse\u201D of 1B608 equipment in\rthe \u201Cproduction\u201D and handling\rofmaterialscontrolledby\r1C608.morMTarticlesin\rUSML Category V"",""MT Column 1""],[""AT applies to entire entry"",""AT Column 1""],[""UN applies to entire entry"",""See § 746.1(b) for\rUN controls""]]",,"
List Based License Exceptions (See Part 740 for
a description of all license exceptions)


CIV:  N/A
TSR:  N/A

","
Special Conditions for STA


STA:  Paragraph (c)(2) of License
Exception STA (§ 740.20(c)(2) of
the EAR) may not be used for any
item in 1D608.

","
List of Items Controlled


Related Controls: (1) Software directly
related to articles enumerated or otherwise
described in USML Categories III, IV or V is
subject to the controls of those USML
Categories, respectively.  (2) See ECCN
0A919 for foreign-made 'military
commodities' that incorporate more than  a
de minimis amount of U.S.-origin '600
series' items.
Related Definitions: N/A
Items:


a.  'Software' 'specially designed' for the
'development,' 'production,' operation, or
maintenance of commodities controlled by
ECCN 1B608 or 1C608.


b. [Reserved]



"
"
1D613  'Software' 'specially designed' for






the 'development,' 'production,' operation,
or maintenance of commodities controlled by","[[""NS applies to entire entry\rexcept 1D613.y"",""NS Column 1""],[""RS applies to entire entry\rexcept 1D613.y"",""RS Column 1""],[""AT applies to entire entry"",""AT Column 1""],[""UN applies to entire entry,\rexcept 1D613.y"",""See § 746.1(b) for\rUN controls""]]",,,,
"
1A613 or 1B613, as follows (see List of Items
Controlled).

","[[""AT applies to entire entry"",""AT Column 1""]]",,"
List Based License Exceptions (See Part 740 for
a description of all license exceptions)


CIV:   N/A
TSR:   N/A

","
Special Conditions for STA


STA: Paragraph (c)(2) of License
Exception STA (§ 740.20(c)(2) of
the EAR) may not be used for any
'software' in 1D613.

","
List of Items Controlled


Related Controls: (1) 'Software' directly
related to articles controlled by USML
Category X is subject to the control of USML
paragraph X(e) of the ITAR.  (2) See ECCN
0A919 for foreign-made 'military
commodities' that incorporate more than a
de minimis amount of US-origin '600 series'
controlled content.


Related Definitions: N/A


Items:


a. 'Software' (other than 'software' controlled
in paragraph .y of this entry) 'specially designed'






for the 'development,' 'production,' operation,
or maintenance of commodities controlled by
ECCNs 1A613 (except 1A613.y) or 1B613
(except 1B613.y).


b. to x. [Reserved]


y.  Specific 'software' 'specially designed' for
the 'production,' 'development,' operation, or
maintenance of commodities controlled by
ECCN 1A613.y.



"
"
1D993  'Software' 'specially designed' for
the 'development,' 'production' or 'use' of
equipment or materials controlled by
1C210.b, or 1C990.

","[[""NSappliesto\u201Ctechnology\u201Dfor"",""NS Column 1.""]]",,"
List Based License Exceptions (See Part 740 for
a description of all license exceptions)


CIV: N/A
TSR: N/A

",,"
List of Items Controlled


Related Controls: N/A
Related Definitions: N/A
Items:


The list of items controlled is contained in the
ECCN heading.



"
